"pesticide_id";"pesticide_name";"pesticide_code";"price";"quantity";"type";"iupa_number";"mfg_local";"company_name"
649;"Fluxapyroxad 333 g/l FS";138;0.0;0.0;"";"827";"N";"M/s. BASF Agri-Production S.A.S. Zone Industrielle Lyon Nord Rue Jacquard 69727 Genay Cedex France. '(by M/s BASF India Ltd. Mumabi)"
650;"Flusilazole Technical 92.5% min 95%min.";139;0.0;0.0;"Fungicide";"";"N";"DuPont de Nemous (France) S.A. DU Pont Agricultural Products82 Witelshein ? B.P. 9 Cernay France"
651;"Flusilazole Technical 92.5% min 95%min.";139;0.0;0.0;"Fungicide";"";"N";"Anhui Huaxing Chemical Industries Co. Ltd. No.6 Hongfeng Road Hefei P .R. China Valid upto 18.12.2018 (By M/s Dhanuka Agritech. Ltd. New Delhi for 95.0 % min)"
652;"Fluthiacet-methyl Tech. 95% min.";140;0.0;0.0;"";"859";"N";"M/s Jiangsu Lianhe chemical Technology Co Limited Weiyi Road Chenjiagang Chemical Industry Area Xianshui Yancheng Jiangsu Province China 224631"
653;"Fomesafen Technical 95% min";141;0.0;0.0;"";"739";"N";"M/s Jiangsu Changqing Agrochemical Co. Ltd. No. 1 Jiangling Road Putou Town Jiangdu Jiangsu- 225 218 PRC Valid upto 29.04.2018. (M/s. Syngenta India Ltd. Pune)"
654;"Fluvalinate Technical 88% min.";142;0.0;0.0;"Insecticide";"395";"N";"Novartis Crop Protection AG Switzerland. "
655;"Fluvalinate Technical 88% min.";142;0.0;0.0;"Insecticide";"395";"Y";"Syngenta India Ltd. "
656;"Formothion Technical 50% min.";143;0.0;0.0;"";"234";"N";"Novartis Crop Protection Inc. USA"
657;"Forchlorfenuron (CPPU) Technical 98% min.";144;0.0;0.0;"Plant Growth Regulator";"645";"Y";"Omega Fine Chemicals Mumbai"
658;"Forchlorfenuron (CPPU) Technical 98% min.";144;0.0;0.0;"Plant Growth Regulator";"645";"Y";"Mauni Agro Chemical Industries Pvt. Ltd. Kopargaon. "
659;"Forchlorfenuron (CPPU) Technical 98% min.";144;0.0;0.0;"Plant Growth Regulator";"645";"Y";"Sunshine Fine Chemsol India Pvt. Ltd. "
660;"Forchlorfenuron (CPPU) Technical 98% min.";144;0.0;0.0;"Plant Growth Regulator";"645";"Y";"Matrix Biocontrol (India) Pvt. Ltd. Nashik 98% min9(4) "
661;"Forchlorfenuron 0.12%EC";145;0.0;0.0;"Plant Growth Regulator";"645";"N";"AIZChem Trostberg GmbH Postfach-1262 D-83303 Trostberg Germany"
662;"Fosetyl-Al Technical 95% min. 96% min*";146;0.0;0.0;"Fungicide";"363";"N";"Bayer S.A.S 16 rue Jean- Marie Leclair 69009 Lyon France Supplier Name M/s Bayer CropScience AG Germany"
663;"Fosetyl-Al Technical 95% min. 96% min*";146;0.0;0.0;"Fungicide";"363";"N";"M/s Zhejiang Jiahua Chemical Co. Ltd. China"
664;"Gibberellic Acid Technical 90% min. ";147;0.0;0.0;"Plant Growth Regulator";"236";"N";"Valent Bioscience Corp. "
665;"Gibberellic Acid Technical 90% min. ";147;0.0;0.0;"Plant Growth Regulator";"236";"N";"Polfa Pharmaceutical Works Poland "
666;"Gibberellic Acid Technical 90% min. ";147;0.0;0.0;"Plant Growth Regulator";"236";"N";"Phylaxia Veterinary Biologicals Budapest Hungary"
667;"Gibberellic Acid Technical 90% min. ";147;0.0;0.0;"Plant Growth Regulator";"236";"N";"Zeneca Ltd. UK. "
668;"Gibberellic Acid Technical 90% min. ";147;0.0;0.0;"Plant Growth Regulator";"236";"N";"Hunan Biological Medicine Factory China"
669;"Gibberellic Acid Technical 90% min. ";147;0.0;0.0;"Plant Growth Regulator";"236";"N";"Capd Abbot lab USA "
670;"Gibberellic Acid Technical 90% min. ";147;0.0;0.0;"Plant Growth Regulator";"236";"Y";"Shankar and Sastry Ltd. Bangalore "
671;"Gibberellic Acid Technical 90% min. ";147;0.0;0.0;"Plant Growth Regulator";"236";"Y";"Krishi Rasayan Pvt. Ltd. Kolkata "
672;"Gibberellic Acid Technical 90% min. ";147;0.0;0.0;"Plant Growth Regulator";"236";"Y";"Punjab Chemicals and Crop Protection Ltd. "
673;"Glufosinate Ammonium Technical 50% min. (LC)";148;0.0;0.0;"Herbicide";"274";"N";"M/s Bayer AG Germany"
674;"Glufosinate Ammonium Technical 50% min. (LC)";148;0.0;0.0;"Herbicide";"274";"N";"Bayer Crop Science LP Michigan USA"
675;"Glyphosate Tech. 95% min.*";149;0.0;0.0;"Herbicide";"327";"N";"Monsanto Chemicals Co. Ltd. USA"
676;"Glyphosate Tech. 95% min.*";149;0.0;0.0;"Herbicide";"327";"N";"Hebei Golhil Chemical Co. Ltd Tongda Road Jinzhou city 052260 Hebei China"
677;"Glyphosate Tech. 95% min.*";149;0.0;0.0;"Herbicide";"327";"N";"Cheminova A/s P.O Box 9 DK-7620 Lemvig Denmark"
678;"Glyphosate Tech. 95% min.*";149;0.0;0.0;"Herbicide";"327";"N";"M/s ADAMA ltd. 93 East Beijing Road Jingzhou Hubei China 434001"
679;"Glyphosate Tech. 95% min.*";149;0.0;0.0;"Herbicide";"327";"N";"M/s Jiangxi Jinlong Chemical Co. Ltd. Tashan Industrial Park of Leping City of Jiangxi Province China "
680;"Glyphosate Tech. 95% min.*";149;0.0;0.0;"Herbicide";"327";"N";"Nantong Jiangshan Agrochemical and Chemicals Limited Liability Co. No. 998 Jiangshan Road Nantong Economic and Technological Development Zone Nantong Jiangsu China"
681;"Glyphosate Tech. 95% min.*";149;0.0;0.0;"Herbicide";"327";"Y";"Atul Ltd. Valsad "
682;"Glyphosate Tech. 95% min.*";149;0.0;0.0;"Herbicide";"327";"Y";"Excel Crop Care Ltd. Ltd. Mumbai "
683;"Glyphosate Tech. 95% min.*";149;0.0;0.0;"Herbicide";"327";"Y";"Gharda Chemicals Ltd. Mumbai. "
684;"Glyphosate Tech. 95% min.*";149;0.0;0.0;"Herbicide";"327";"Y";"Chemtura Chemicals India Pvt. Ltd "
685;"Glyphosate Tech. 95% min.*";149;0.0;0.0;"Herbicide";"327";"Y";"Ravi Organics Ltd. "
686;"Glyphosate Tech. 95% min.*";149;0.0;0.0;"Herbicide";"327";"Y";"Meghmani Industries Ltd. "
687;"Glyphosate Tech. 95% min.*";149;0.0;0.0;"Herbicide";"327";"Y";"Insecticide India Ltd. "
688;"Glyphosate Tech. 95% min.*";149;0.0;0.0;"Herbicide";"327";"Y";"Crystal Phosphates Ltd "
689;"Glyphosate Tech. 95% min.*";149;0.0;0.0;"Herbicide";"327";"Y";"Hyderabad Chemicals Products Ltd. Hyderabad "
