"fertilizer_id";"fertilizer_name";"fertilizer_code";"fertilizer_type";"brand_name";"company_name";"price";"quantity";"image_path"
1;"MOP";"1";"";"Potash";"CIL";0.0;0.0;""
2;"20-20-0-13";"2";"";"NPK";"CIL";0.0;0.0;""
3;"28-28-0";"3";"";"Urea";"CIL";0.0;0.0;"/images/urea_kaibhco.jpg"
4;"24-24-0-8";"4";"";"NPK";"CIL";0.0;0.0;""
5;"14-35-14";"5";"";"NPK";"CIL";0.0;0.0;""
6;"Amm Sulphate";"6";"";"Urea";"FACT";0.0;0.0;"/images/urea_kaibhco.jpg"
7;"20-20-0-13";"7";"";"NPK";"FACT";0.0;0.0;""
8;"MOP";"8";"";"Potash";"IPL";0.0;0.0;""
9;"Neem Coated Urea(45 Kg)";"9";"";"Urea";"KRIBHCO";0.0;0.0;"/images/urea_kaibhco.jpg"
10;"Neem Coated Urea(45 Kg)";"10";"";"Urea";"NFCL";0.0;0.0;"/images/urea_kaibhco.jpg"
11;"Neem Coated Urea(45 Kg)";"11";"";"Urea";"RCF";0.0;0.0;"/images/urea_kaibhco.jpg"
12;"46321";"12";"";"NPK";"CIL";0.0;0.0;""
13;"DAP";"13";"";"Urea";"CIL";0.0;0.0;"/images/urea_kaibhco.jpg"
